Player Name,Year,Rounds Played in Year,Average Fairway Percentage,Average Driving Distance,Average GIR,Average Putts,Average Scrambling,Average Score,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Top 10 Placements
Kyle Stanley,2017,104,68.55,296.5,70.39,29.63,58.35,69.989,-0.309,0.951,0.659,0.562,0.038,5
Vaughn Taylor,2017,90,68.28,282.4,66.67,29,60.52,71.044,0.139,0.106,-0.001,0.135,-0.168,
Steve Wheatcroft,2017,51,68.24,280.5,60.99,28.51,63.64,71.577,0.479,-0.162,0.259,-0.953,0.054,1
Ben Crane,2017,86,67.97,278.5,65.68,29.13,59.02,71.091,-0.155,-0.223,-0.15,-0.024,0.105,1
Ryan Moore,2017,82,67.9,288,65.05,29.04,56.74,70.741,-0.017,0.301,-0.006,0.498,-0.173,2
Spencer Levin,2017,89,67.82,279,65.56,29.38,61.1,71.516,0.03,-0.4,-0.161,-0.195,-0.073,1
Steven Alker,2017,69,67.54,276.9,65.17,29.14,59.75,71.638,-0.309,-0.412,-0.289,-0.212,0.398,
Chad Campbell,2017,97,67.21,285.6,69.07,29.51,64.63,70.509,-0.286,0.405,0.041,0.506,0.144,3
Alex Cejka,2017,85,67.19,282.1,66.45,29.51,61.08,71.461,-0.359,-0.452,-0.02,-0.2,0.127,1
Russell Knox,2017,75,67.09,288,66.58,29.35,57.46,70.765,-0.349,-0.144,0.102,0.181,-0.119,4
Kevin Kisner,2017,105,67,288.7,66.43,28.79,62.5,70.294,0.388,1.148,0.257,0.334,0.065,7
David Hearn,2017,93,66.75,281,64.71,29.07,61.85,71.107,-0.052,-0.096,-0.175,0.016,0.115,2
Zach Johnson,2017,81,66.54,286.8,64.16,28.52,60.08,70.393,0.417,0.584,-0.005,-0.007,0.226,4
Keegan Bradley,2017,104,66.23,299.4,68.93,29.36,59.49,70.437,-0.216,0.629,0.625,0.139,0.004,5
K.J. Choi,2017,72,66.23,282.2,63.05,28.97,60.36,71.618,0.176,-0.264,-0.141,-0.511,0.213,
